-0.23579,-0.25279,-0.24843,-0.24901,-0.24834,-0.24788,-0.24727,-0.24661,-0.24587,-0.24506,-0.24417,-0.24321,-0.24218,-0.24108,-0.23991,-0.23866,-0.23735,-0.23596,-0.2345,-0.23298,-0.23138,-0.22971,-0.22798,-0.22615,-0.22418,-0.22181,-0.21795,-0.20804,-0.17266,-0.029606
-0.25279,-0.24843,-0.24901,-0.24834,-0.24788,-0.24727,-0.24661,-0.24587,-0.24506,-0.24417,-0.24321,-0.24218,-0.24108,-0.23991,-0.23866,-0.23735,-0.23596,-0.2345,-0.23298,-0.23138,-0.22971,-0.22798,-0.22615,-0.22418,-0.22181,-0.21795,-0.20804,-0.17266,-0.029606,-0.29108
-0.24843,-0.24901,-0.24834,-0.24788,-0.24727,-0.24661,-0.24587,-0.24506,-0.24417,-0.24321,-0.24218,-0.24108,-0.23991,-0.23866,-0.23735,-0.23596,-0.2345,-0.23298,-0.23138,-0.22971,-0.22798,-0.22615,-0.22418,-0.22181,-0.21795,-0.20804,-0.17266,-0.029606,-0.29108,-0.23231
-0.24901,-0.24834,-0.24788,-0.24727,-0.24661,-0.24587,-0.24506,-0.24417,-0.24321,-0.24218,-0.24108,-0.23991,-0.23866,-0.23735,-0.23596,-0.2345,-0.23298,-0.23138,-0.22971,-0.22798,-0.22615,-0.22418,-0.22181,-0.21795,-0.20804,-0.17266,-0.029606,-0.29108,-0.23231,-0.23956
-0.24834,-0.24788,-0.24727,-0.24661,-0.24587,-0.24506,-0.24417,-0.24321,-0.24218,-0.24108,-0.23991,-0.23866,-0.23735,-0.23596,-0.2345,-0.23298,-0.23138,-0.22971,-0.22798,-0.22615,-0.22418,-0.22181,-0.21795,-0.20804,-0.17266,-0.029606,-0.29108,-0.23231,-0.23956,-0.23379
-0.24788,-0.24727,-0.24661,-0.24587,-0.24506,-0.24417,-0.24321,-0.24218,-0.24108,-0.23991,-0.23866,-0.23735,-0.23596,-0.2345,-0.23298,-0.23138,-0.22971,-0.22798,-0.22615,-0.22418,-0.22181,-0.21795,-0.20804,-0.17266,-0.029606,-0.29108,-0.23231,-0.23956,-0.23379,-0.18567
-0.24727,-0.24661,-0.24587,-0.24506,-0.24417,-0.24321,-0.24218,-0.24108,-0.23991,-0.23866,-0.23735,-0.23596,-0.2345,-0.23298,-0.23138,-0.22971,-0.22798,-0.22615,-0.22418,-0.22181,-0.21795,-0.20804,-0.17266,-0.029606,-0.29108,-0.23231,-0.23956,-0.23379,-0.18567,-0.024806
-0.24661,-0.24587,-0.24506,-0.24417,-0.24321,-0.24218,-0.24108,-0.23991,-0.23866,-0.23735,-0.23596,-0.2345,-0.23298,-0.23138,-0.22971,-0.22798,-0.22615,-0.22418,-0.22181,-0.21795,-0.20804,-0.17266,-0.029606,-0.29108,-0.23231,-0.23956,-0.23379,-0.18567,-0.024806,-0.2849
-0.24587,-0.24506,-0.24417,-0.24321,-0.24218,-0.24108,-0.23991,-0.23866,-0.23735,-0.23596,-0.2345,-0.23298,-0.23138,-0.22971,-0.22798,-0.22615,-0.22418,-0.22181,-0.21795,-0.20804,-0.17266,-0.029606,-0.29108,-0.23231,-0.23956,-0.23379,-0.18567,-0.024806,-0.2849,-0.21813
-0.24506,-0.24417,-0.24321,-0.24218,-0.24108,-0.23991,-0.23866,-0.23735,-0.23596,-0.2345,-0.23298,-0.23138,-0.22971,-0.22798,-0.22615,-0.22418,-0.22181,-0.21795,-0.20804,-0.17266,-0.029606,-0.29108,-0.23231,-0.23956,-0.23379,-0.18567,-0.024806,-0.2849,-0.21813,-0.18373
-0.24417,-0.24321,-0.24218,-0.24108,-0.23991,-0.23866,-0.23735,-0.23596,-0.2345,-0.23298,-0.23138,-0.22971,-0.22798,-0.22615,-0.22418,-0.22181,-0.21795,-0.20804,-0.17266,-0.029606,-0.29108,-0.23231,-0.23956,-0.23379,-0.18567,-0.024806,-0.2849,-0.21813,-0.18373,-0.012474
-0.24321,-0.24218,-0.24108,-0.23991,-0.23866,-0.23735,-0.23596,-0.2345,-0.23298,-0.23138,-0.22971,-0.22798,-0.22615,-0.22418,-0.22181,-0.21795,-0.20804,-0.17266,-0.029606,-0.29108,-0.23231,-0.23956,-0.23379,-0.18567,-0.024806,-0.2849,-0.21813,-0.18373,-0.012474,-0.23362
-0.24218,-0.24108,-0.23991,-0.23866,-0.23735,-0.23596,-0.2345,-0.23298,-0.23138,-0.22971,-0.22798,-0.22615,-0.22418,-0.22181,-0.21795,-0.20804,-0.17266,-0.029606,-0.29108,-0.23231,-0.23956,-0.23379,-0.18567,-0.024806,-0.2849,-0.21813,-0.18373,-0.012474,-0.23362,-0.012359
-0.24108,-0.23991,-0.23866,-0.23735,-0.23596,-0.2345,-0.23298,-0.23138,-0.22971,-0.22798,-0.22615,-0.22418,-0.22181,-0.21795,-0.20804,-0.17266,-0.029606,-0.29108,-0.23231,-0.23956,-0.23379,-0.18567,-0.024806,-0.2849,-0.21813,-0.18373,-0.012474,-0.23362,-0.012359,-0.28306
-0.23991,-0.23866,-0.23735,-0.23596,-0.2345,-0.23298,-0.23138,-0.22971,-0.22798,-0.22615,-0.22418,-0.22181,-0.21795,-0.20804,-0.17266,-0.029606,-0.29108,-0.23231,-0.23956,-0.23379,-0.18567,-0.024806,-0.2849,-0.21813,-0.18373,-0.012474,-0.23362,-0.012359,-0.28306,-0.21623
-0.23866,-0.23735,-0.23596,-0.2345,-0.23298,-0.23138,-0.22971,-0.22798,-0.22615,-0.22418,-0.22181,-0.21795,-0.20804,-0.17266,-0.029606,-0.29108,-0.23231,-0.23956,-0.23379,-0.18567,-0.024806,-0.2849,-0.21813,-0.18373,-0.012474,-0.23362,-0.012359,-0.28306,-0.21623,-0.18254
-0.23735,-0.23596,-0.2345,-0.23298,-0.23138,-0.22971,-0.22798,-0.22615,-0.22418,-0.22181,-0.21795,-0.20804,-0.17266,-0.029606,-0.29108,-0.23231,-0.23956,-0.23379,-0.18567,-0.024806,-0.2849,-0.21813,-0.18373,-0.012474,-0.23362,-0.012359,-0.28306,-0.21623,-0.18254,-0.024555
-0.23596,-0.2345,-0.23298,-0.23138,-0.22971,-0.22798,-0.22615,-0.22418,-0.22181,-0.21795,-0.20804,-0.17266,-0.029606,-0.29108,-0.23231,-0.23956,-0.23379,-0.18567,-0.024806,-0.2849,-0.21813,-0.18373,-0.012474,-0.23362,-0.012359,-0.28306,-0.21623,-0.18254,-0.024555,-0.28076
